city,year,month,T,RH,Precip,FF
Dofar,2013,Dec,24.8,39.8,8.7,8.3
Dofar,2014,Jan,19.5,56.3,0,7.3
Dofar,2014,Feb,20.9,48.9,0,6.5
Dofar,2014,Mar,24,54.1,0.2,6.7
Dofar,2014,Apr,29.5,56.1,2.9,7.1
Dofar,2014,May,29.2,64.6,3.5,8.3
Dofar,2014,Jun,29.4,65.4,9.8,9.3
Dofar,2014,Jul,26.8,72.8,45.8,9.5
Dofar,2014,Aug,25.9,75.8,26.7,9.2
Dofar,2014,Sep,26.3,72.7,12.8,8.4
Dofar,2014,Oct,27.1,52.9,0.3,5.7
Dofar,2014,Nov,25.3,47.5,5.7,5.6
Dofar,2014,Dec,22.6,42.1,2.5,8
Dofar,2015,Jan,20.9,45.6,0.4,7.1
Dofar,2015,Feb,22.6,49.7,0,7.6
Dofar,2015,Mar,25.2,60.7,0.1,7.5
Dofar,2015,Apr,28.3,56.5,2.2,6.9
Dofar,2015,May,30.1,63.5,0.5,9.3
Dofar,2015,Jun,31,58.1,8.1,9.8
Dofar,2015,Jul,27.8,65.3,13.4,11.7
Dofar,2015,Aug,27.6,73,5.1,10.4
Dofar,2015,Sep,28.3,67.3,6.7,8.8
Dofar,2015,Oct,28.3,60.9,0.2,6.9
Dofar,2015,Nov,26,60.1,5.4,7.5
Dofar,2015,Dec,22.4,53.8,1.2,8.1
Dofar,2016,Jan,21.9,54.6,0.2,7.4
Dofar,2016,Feb,22.2,46,0,7.2
Dofar,2016,Mar,26.3,66.4,0.1,8.9
Dofar,2016,Apr,28.1,60.4,0,8
Dofar,2016,May,30.2,65.8,2.1,8.6
Dofar,2016,Jun,29.4,70.6,13.8,9
Dofar,2016,Jul,27,74.8,16.4,10.5
Dofar,2016,Aug,26.6,76.1,8.8,10.3
Dofar,2016,Sep,26.8,74.9,1.8,8.3
Dofar,2016,Oct,25.9,61.1,0,6.3
Dofar,2016,Nov,24.4,56.6,0.3,6.1
Dofar,2016,Dec,23.5,53.5,0.5,6.5
